rep,n,bin,method,bias,variance,rmse,binlabel
0,16,0,std,0.03729347620671408,0.013734539823307771,0.12298513402394828,0-1000
0,16,1,std,0.07005681139056666,0.017792459929861736,0.15066657476718306,1000-10000
0,16,2,std,0.06058931842860383,0.013921877309262897,0.13263839118786705,10000-100000
0,16,3,std,0.07239216367701305,0.011720363713288445,0.13023436211356776,100000-1000000
0,26,0,std,0.018800847513874584,0.011306061224541999,0.1079793178890382,0-1000
0,26,1,std,0.01950374006254162,0.011805898450497478,0.11039155007030506,1000-10000
0,26,2,std,0.05369647258814918,0.01035930807835107,0.11507657992294056,10000-100000
0,26,3,std,0.05010038411014596,0.006128437796496054,0.09294345745925434,100000-1000000
1,16,0,std,0.04730862569832491,0.016349693144223236,0.13633707936466677,0-1000
1,16,1,std,0.051737166068645736,0.016594118634942142,0.13881949786595818,1000-10000
1,16,2,std,0.06115583399935171,0.011646289912224122,0.1240416298844077,10000-100000
1,16,3,std,0.06838429754554942,0.008887325917450983,0.1164634623744684,100000-1000000
1,26,0,std,0.02385875169592756,0.009608304907775837,0.10088381902100932,0-1000
1,26,1,std,0.033976175307003094,0.010650350937642716,0.10864958088338364,1000-10000
1,26,2,std,0.038782181383881814,0.006241251206074003,0.08800743604358846,10000-100000
1,26,3,std,0.052111901535978104,0.006626281670157355,0.09665367014166007,100000-1000000
2,16,0,std,0.05030820862375997,0.01918873068536592,0.14737586824272716,0-1000
2,16,1,std,0.05033557474177838,0.019424731753867098,0.14818367601882554,1000-10000
2,16,2,std,0.06335224267569937,0.012542165488825729,0.12866884681563923,10000-100000
2,16,3,std,0.07042648314353459,0.008561001509266386,0.11627936634344439,100000-1000000
2,26,0,std,0.008829511861045561,0.009398263572912506,0.09734589797529658,0-1000
2,26,1,std,0.0232366290930032,0.011541877691969666,0.10991732631198535,1000-10000
2,26,2,std,0.04400845012794251,0.005734494952821575,0.08758560746769516,10000-100000
2,26,3,std,0.04904029739972176,0.004854592139003815,0.08520295128724692,100000-1000000
3,16,0,std,0.04041637324414584,0.019630620284670195,0.14582216399052753,0-1000
3,16,1,std,0.044016717780681794,0.01746586821389289,0.13929587092974824,1000-10000
3,16,2,std,0.0497158488532261,0.013611148785297868,0.12681803662135246,10000-100000
3,16,3,std,0.07837426431629571,0.01027979453690454,0.12814959946884394,100000-1000000
3,26,0,std,0.0317791094883136,0.013469146578213,0.12032895901686852,0-1000
3,26,1,std,0.021878540940590465,0.009300620024147636,0.09889029567069121,1000-10000
3,26,2,std,0.04340238737352766,0.007671963775596917,0.09775341940473832,10000-100000
3,26,3,std,0.04850181795106841,0.005411766460959221,0.08811465715485592,100000-1000000
4,16,0,std,0.03487875313523155,0.01865480768706881,0.14096572316466593,0-1000
4,16,1,std,0.047211900936651396,0.013642376616709839,0.12598150739994352,1000-10000
4,16,2,std,0.06377899193334201,0.015539032491637428,0.140024256126111,10000-100000
4,16,3,std,0.062105314067901304,0.009967857674171968,0.11757945275278597,100000-1000000
4,26,0,std,0.01360826848329621,0.010675289681333815,0.10421360109144721,0-1000
4,26,1,std,0.03980669289776792,0.010265053993229087,0.10885599107392432,1000-10000
4,26,2,std,0.04387854129766964,0.006011037438951469,0.08908627181200687,10000-100000
4,26,3,std,0.04165378612099536,0.005842578732152471,0.08704950677841947,100000-1000000
5,16,0,std,0.03762663924485471,0.015338261324641132,0.1294373412331371,0-1000
5,16,1,std,0.04556373458539949,0.014488038231270395,0.12870156230846277,1000-10000
5,16,2,std,0.059488098009424034,0.013094955364061559,0.12897204801367,10000-100000
5,16,3,std,0.06932681707494197,0.00920242172994034,0.118358055474407,100000-1000000
5,26,0,std,0.02379038979266729,0.012112479553181977,0.11259867761065857,0-1000
5,26,1,std,0.029443508235163746,0.011980039965707212,0.1133444314596062,1000-10000
5,26,2,std,0.033451708055126296,0.0061568263969071675,0.08529855314548172,10000-100000
5,26,3,std,0.04106893884258506,0.004084057556636749,0.07596522424302281,100000-1000000
6,16,0,std,0.0337817959917767,0.01848269108015002,0.14008533406670393,0-1000
6,16,1,std,0.055308502303658066,0.01677232390109768,0.14082384147640423,1000-10000
6,16,2,std,0.07890252613318505,0.014994714207305599,0.14567196997879706,10000-100000
6,16,3,std,0.06714306729195452,0.009926273981871434,0.12014352028820932,100000-1000000
6,26,0,std,0.029380817546310212,0.01293299197656933,0.11745733019381506,0-1000
6,26,1,std,0.03484216051436047,0.010111075817321175,0.10641922742920865,1000-10000
6,26,2,std,0.04176090168632111,0.008225893209094389,0.09984921691605281,10000-100000
6,26,3,std,0.04719100075289062,0.004387077353641454,0.0813269199324601,100000-1000000
7,16,0,std,0.04543213103894407,0.01545521140292179,0.13236045456880832,0-1000
7,16,1,std,0.05726825068516393,0.02197387964651593,0.15891359974229616,1000-10000
7,16,2,std,0.07083735852095846,0.016947223071145535,0.1482064588112554,10000-100000
7,16,3,std,0.07982573858951339,0.013204368370638132,0.13991610669254437,100000-1000000
7,26,0,std,0.022770710803274814,0.01128951629545397,0.108664720889258,0-1000
7,26,1,std,0.02754375053897698,0.011257989564659758,0.10962047143856457,1000-10000
7,26,2,std,0.04013912310196956,0.0069874624499752045,0.09272869918946491,10000-100000
7,26,3,std,0.03713148034784317,0.004383943891435083,0.07591238847683128,100000-1000000
8,16,0,std,0.032584090723439894,0.0205011254489998,0.14684293792100853,0-1000
8,16,1,std,0.04293155029929725,0.017409219998651176,0.13875279460159448,1000-10000
8,16,2,std,0.0728273374661605,0.016578811213739372,0.14792779419753882,10000-100000
8,16,3,std,0.0744422461444916,0.011210092674583737,0.12942851573598768,100000-1000000
8,26,0,std,0.019127719477379256,0.00874049032756032,0.09542724967201786,0-1000
8,26,1,std,0.0184539802087966,0.01105703833628413,0.10675948539511974,1000-10000
8,26,2,std,0.03648715878707324,0.007217071238935108,0.09245747127889777,10000-100000
8,26,3,std,0.041327748682629784,0.004417801305584635,0.07826738859039084,100000-1000000
9,16,0,std,0.03330690533257332,0.015331986736020905,0.12822377579393732,0-1000
9,16,1,std,0.05496177561833252,0.020372166806034233,0.15294758443713377,1000-10000
9,16,2,std,0.059928844016271604,0.013366425284981335,0.13022246975890123,10000-100000
9,16,3,std,0.07270126038665972,0.00901523472822083,0.1195855676494021,100000-1000000
9,26,0,std,0.021762347354899826,0.012499001473078497,0.1138973276046186,0-1000
9,26,1,std,0.01748156384580313,0.010170772392679387,0.10235417659858477,1000-10000
9,26,2,std,0.037410235841240584,0.00710232854512461,0.09220550032846117,10000-100000
