rep,n,thr,method,f1
0,5,0.2,Samp,0.6221461187214611
0,5,0.2,BS,0.6748166259168704
0,5,0.2,Rag,0.6428571428571429
0,5,0.2,Cal,0.6834244080145719
0,5,0.2,mCal,0.6815181518151816
0,5,0.5,Samp,0.6462287104622871
0,5,0.5,BS,0.6888055704338512
0,5,0.5,Rag,0.5854287556415215
0,5,0.5,Cal,0.7343387470997679
0,5,0.5,mCal,0.7375296912114013
0,5,0.8,Samp,0.7054380664652569
0,5,0.8,BS,0.744
0,5,0.8,Rag,0.6285714285714286
0,5,0.8,Cal,0.7834877843302444
0,5,0.8,mCal,0.7928388746803069
0,10,0.2,Samp,0.7257731958762887
0,10,0.2,BS,0.7673151750972763
0,10,0.2,Rag,0.7387163561076604
0,10,0.2,Cal,0.7845479888490642
0,10,0.2,mCal,0.7808105872622001
0,10,0.5,Samp,0.7970479704797048
0,10,0.5,BS,0.8176583493282149
0,10,0.5,Rag,0.7658979734451432
0,10,0.5,Cal,0.8415300546448088
0,10,0.5,mCal,0.8428277282086479
0,10,0.8,Samp,0.8325358851674641
0,10,0.8,BS,0.8352941176470587
0,10,0.8,Rag,0.6063348416289593
0,10,0.8,Cal,0.8533057851239668
0,10,0.8,mCal,0.8533057851239668
0,25,0.2,Samp,0.8625204582651391
0,25,0.2,BS,0.8739352640545144
0,25,0.2,Rag,0.8519322622666088
0,25,0.2,Cal,0.8784313725490196
0,25,0.2,mCal,0.8784798939460893
0,25,0.5,Samp,0.9179632248939181
0,25,0.5,BS,0.9213161659513591
0,25,0.5,Rag,0.8288973384030419
0,25,0.5,Cal,0.926470588235294
0,25,0.5,mCal,0.9290989660265878
0,25,0.8,Samp,0.9169363538295577
0,25,0.8,BS,0.9199134199134199
0,25,0.8,Rag,0.7093712930011862
0,25,0.8,Cal,0.920314253647587
0,25,0.8,mCal,0.920314253647587
1,5,0.2,Samp,0.6120857699805069
1,5,0.2,BS,0.6847713991062222
1,5,0.2,Rag,0.6625625240477107
1,5,0.2,Cal,0.6982881597717545
1,5,0.2,mCal,0.7140575079872203
1,5,0.5,Samp,0.6666666666666667
1,5,0.5,BS,0.7192982456140352
1,5,0.5,Rag,0.5850422195416165
1,5,0.5,Cal,0.7734375
1,5,0.5,mCal,0.7835522558537977
1,5,0.8,Samp,0.702158273381295
1,5,0.8,BS,0.7457627118644067
1,5,0.8,Rag,0.5783132530120482
1,5,0.8,Cal,0.7802907915993539
1,5,0.8,mCal,0.7828200972447327
1,10,0.2,Samp,0.7217146872803935
1,10,0.2,BS,0.7603372139702931
1,10,0.2,Rag,0.7433177768349596
1,10,0.2,Cal,0.7702318015453437
1,10,0.2,mCal,0.7727465086754126
1,10,0.5,Samp,0.8243327126008689
1,10,0.5,BS,0.8362459546925565
1,10,0.5,Rag,0.7321299638989169
1,10,0.5,Cal,0.8544217687074831
1,10,0.5,mCal,0.858122001370802
1,10,0.8,Samp,0.844106463878327
1,10,0.8,BS,0.8467583497053045
1,10,0.8,Rag,0.6391061452513968
1,10,0.8,Cal,0.8559754851889683
1,10,0.8,mCal,0.8559754851889683
1,25,0.2,Samp,0.8633387888707038
1,25,0.2,BS,0.8707599828252468
1,25,0.2,Rag,0.8512505484861782
1,25,0.2,Cal,0.8763748350197975
1,25,0.2,mCal,0.8782880071333036
1,25,0.5,Samp,0.9048951048951049
1,25,0.5,BS,0.9087018544935807
1,25,0.5,Rag,0.8449669360764144
1,25,0.5,Cal,0.9194729136163983
1,25,0.5,mCal,0.918201915991157
1,25,0.8,Samp,0.9058693244739756
1,25,0.8,BS,0.9066666666666666
1,25,0.8,Rag,0.7211201866977831
1,25,0.8,Cal,0.8948598130841122
1,25,0.8,mCal,0.8948598130841122
2,5,0.2,Samp,0.6321358952937901
2,5,0.2,BS,0.680791941646405
2,5,0.2,Rag,0.6479313036690086
2,5,0.2,Cal,0.6939218523878438
2,5,0.2,mCal,0.7033414832925835
2,5,0.5,Samp,0.6618566618566619
2,5,0.5,BS,0.7075621364357483
2,5,0.5,Rag,0.5955610357583231
2,5,0.5,Cal,0.7598647125140925
2,5,0.5,mCal,0.7677119628339142
2,5,0.8,Samp,0.7194244604316548
2,5,0.8,BS,0.7490406753645433
2,5,0.8,Rag,0.5848252344416027
2,5,0.8,Cal,0.7798238590872699
2,5,0.8,mCal,0.7835880933226067
2,10,0.2,Samp,0.7221838286109191
2,10,0.2,BS,0.7680817610062894
2,10,0.2,Rag,0.7408026755852842
2,10,0.2,Cal,0.7826086956521741
2,10,0.2,mCal,0.7759699624530663
2,10,0.5,Samp,0.7952410770194113
2,10,0.5,BS,0.816272965879265
2,10,0.5,Rag,0.7323741007194245
2,10,0.5,Cal,0.8447552447552447
2,10,0.5,mCal,0.8502824858757062
2,10,0.8,Samp,0.8423153692614771
2,10,0.8,BS,0.8405797101449276
2,10,0.8,Rag,0.6036866359447004
2,10,0.8,Cal,0.8509719222462203
2,10,0.8,mCal,0.8509719222462203
2,25,0.2,Samp,0.8399668325041459
2,25,0.2,BS,0.853932584269663
2,25,0.2,Rag,0.8323036187113857
2,25,0.2,Cal,0.8617021276595744
2,25,0.2,mCal,0.8609986504723348
2,25,0.5,Samp,0.9048316251830161
2,25,0.5,BS,0.9073387694588585
2,25,0.5,Rag,0.8351309707241912
2,25,0.5,Cal,0.9118773946360152
2,25,0.5,mCal,0.9124423963133641
2,25,0.8,Samp,0.9119286510590859
