rep,n,thr,method,f1
0,5,0.2,Cal,0.595647193585338
0,5,0.2,mCal,0.6312154696132598
0,5,0.2,Flex,0.5987111892208553
0,5,0.5,Cal,0.6686217008797654
0,5,0.5,mCal,0.676056338028169
0,5,0.5,Flex,0.6570605187319885
0,5,0.8,Cal,0.6618705035971224
0,5,0.8,mCal,0.6734992679355783
0,5,0.8,Flex,0.6609195402298851
0,10,0.2,Cal,0.661608497723824
0,10,0.2,mCal,0.674757281553398
0,10,0.2,Flex,0.6553059643687065
0,10,0.5,Cal,0.7905511811023622
0,10,0.5,mCal,0.7923930269413629
0,10,0.5,Flex,0.7660208643815202
0,10,0.8,Cal,0.826530612244898
0,10,0.8,mCal,0.826530612244898
0,10,0.8,Flex,0.7858823529411765
0,25,0.2,Cal,0.8191489361702128
0,25,0.2,mCal,0.8207885304659498
0,25,0.2,Flex,0.8170212765957447
0,25,0.5,Cal,0.889261744966443
0,25,0.5,mCal,0.888888888888889
0,25,0.5,Flex,0.8816855753646677
0,25,0.8,Cal,0.8908045977011495
0,25,0.8,mCal,0.8908045977011495
0,25,0.8,Flex,0.8839779005524862
1,5,0.2,Cal,0.580936266215454
1,5,0.2,mCal,0.6104417670682731
1,5,0.2,Flex,0.5891203703703705
1,5,0.5,Cal,0.676923076923077
1,5,0.5,mCal,0.6823529411764706
1,5,0.5,Flex,0.665406427221172
1,5,0.8,Cal,0.6711051930758988
1,5,0.8,mCal,0.6792452830188679
1,5,0.8,Flex,0.6693227091633466
1,10,0.2,Cal,0.6738197424892703
1,10,0.2,mCal,0.687789799072643
1,10,0.2,Flex,0.656137832017229
1,10,0.5,Cal,0.8068669527896996
1,10,0.5,mCal,0.8116788321167883
1,10,0.5,Flex,0.7756756756756757
1,10,0.8,Cal,0.8008658008658008
1,10,0.8,mCal,0.8008658008658008
1,10,0.8,Flex,0.8032128514056224
1,25,0.2,Cal,0.815165876777251
1,25,0.2,mCal,0.819672131147541
1,25,0.2,Flex,0.8124999999999999
1,25,0.5,Cal,0.8970331588132636
1,25,0.5,mCal,0.8970331588132636
1,25,0.5,Flex,0.8859060402684563
1,25,0.8,Cal,0.9217877094972067
1,25,0.8,mCal,0.9217877094972067
1,25,0.8,Flex,0.9251336898395721
2,5,0.2,Cal,0.608241439349971
2,5,0.2,mCal,0.6414035087719299
2,5,0.2,Flex,0.6123188405797101
2,5,0.5,Cal,0.685427135678392
2,5,0.5,mCal,0.6762886597938145
2,5,0.5,Flex,0.6692759295499021
2,5,0.8,Cal,0.6609686609686609
2,5,0.8,mCal,0.6628571428571428
2,5,0.8,Flex,0.6609686609686609
2,10,0.2,Cal,0.7015475313190863
2,10,0.2,mCal,0.7169206094627104
2,10,0.2,Flex,0.6927710843373495
2,10,0.5,Cal,0.8296296296296296
2,10,0.5,mCal,0.833583208395802
2,10,0.5,Flex,0.803347280334728
2,10,0.8,Cal,0.8514412416851442
2,10,0.8,mCal,0.8514412416851442
2,10,0.8,Flex,0.8392484342379959
2,25,0.2,Cal,0.8026440037771483
2,25,0.2,mCal,0.7961538461538462
2,25,0.2,Flex,0.7934782608695652
2,25,0.5,Cal,0.8763250883392226
2,25,0.5,mCal,0.8805704099821747
2,25,0.5,Flex,0.8730964467005077
2,25,0.8,Cal,0.8973607038123167
2,25,0.8,mCal,0.8999999999999999
2,25,0.8,Flex,0.9002849002849003
3,5,0.2,Cal,0.5737898465171192
3,5,0.2,mCal,0.6271676300578034
3,5,0.2,Flex,0.5748938750758036
3,5,0.5,Cal,0.6734486266531027
3,5,0.5,mCal,0.6790505675954592
3,5,0.5,Flex,0.6587064676616915
3,5,0.8,Cal,0.6763848396501457
3,5,0.8,mCal,0.6813509544787079
3,5,0.8,Flex,0.6763848396501457
3,10,0.2,Cal,0.6739446870451238
3,10,0.2,mCal,0.6879377431906616
3,10,0.2,Flex,0.6666666666666666
3,10,0.5,Cal,0.7945619335347432
3,10,0.5,mCal,0.810477657935285
3,10,0.5,Flex,0.7635327635327636
3,10,0.8,Cal,0.8163265306122449
3,10,0.8,mCal,0.8163265306122449
3,10,0.8,Flex,0.8207343412526998
3,25,0.2,Cal,0.8303655107778819
3,25,0.2,mCal,0.8292220113851992
3,25,0.2,Flex,0.8192552225249773
3,25,0.5,Cal,0.9084628670120898
3,25,0.5,mCal,0.9097222222222222
3,25,0.5,Flex,0.8885191347753745
3,25,0.8,Cal,0.8826530612244898
3,25,0.8,mCal,0.8797953964194373
3,25,0.8,Flex,0.8894348894348895
4,5,0.2,Cal,0.5659442724458204
4,5,0.2,mCal,0.6051660516605166
4,5,0.2,Flex,0.5694267515923566
4,5,0.5,Cal,0.6737967914438503
4,5,0.5,mCal,0.6790799561883899
4,5,0.5,Flex,0.6610703043022036
4,5,0.8,Cal,0.652733118971061
4,5,0.8,mCal,0.6623164763458402
4,5,0.8,Flex,0.652733118971061
4,10,0.2,Cal,0.7129909365558913
4,10,0.2,mCal,0.7229894394800973
4,10,0.2,Flex,0.6957186544342507
4,10,0.5,Cal,0.7864823348694316
4,10,0.5,mCal,0.7925696594427244
4,10,0.5,Flex,0.7743813682678312
4,10,0.8,Cal,0.7772277227722771
4,10,0.8,mCal,0.7772277227722771
4,10,0.8,Flex,0.7671232876712328
4,25,0.2,Cal,0.8249312557286892
4,25,0.2,mCal,0.8258426966292134
4,25,0.2,Flex,0.825509300265722
4,25,0.5,Cal,0.9020270270270271
4,25,0.5,mCal,0.9066213921901527
4,25,0.5,Flex,0.8943089430894309
4,25,0.8,Cal,0.8975069252077562
4,25,0.8,mCal,0.8975069252077562
4,25,0.8,Flex,0.898936170212766
5,5,0.2,Cal,0.5949214026602176
5,5,0.2,mCal,0.626174981923355
5,5,0.2,Flex,0.5898389095415116
5,5,0.5,Cal,0.6645502645502646
5,5,0.5,mCal,0.6616379310344828
5,5,0.5,Flex,0.6494312306101345
5,5,0.8,Cal,0.6666666666666666
5,5,0.8,mCal,0.6781789638932496
5,5,0.8,Flex,0.6656394453004623
5,10,0.2,Cal,0.6960556844547564
5,10,0.2,mCal,0.700414937759336
5,10,0.2,Flex,0.6723338485316848
5,10,0.5,Cal,0.8251121076233183
5,10,0.5,mCal,0.8363636363636363
5,10,0.5,Flex,0.7966339410939692
5,10,0.8,Cal,0.823529411764706
5,10,0.8,mCal,0.823529411764706
5,10,0.8,Flex,0.8283261802575107
5,25,0.2,Cal,0.8283185840707965
5,25,0.2,mCal,0.8398190045248868
5,25,0.2,Flex,0.82201203783319
5,25,0.5,Cal,0.879019908116386
5,25,0.5,mCal,0.879019908116386
5,25,0.5,Flex,0.8742514970059879
5,25,0.8,Cal,0.8939393939393939
5,25,0.8,mCal,0.8939393939393939
5,25,0.8,Flex,0.891041162227603
6,5,0.2,Cal,0.5623118603251054
6,5,0.2,mCal,0.5978339350180506
6,5,0.2,Flex,0.5643564356435644
6,5,0.5,Cal,0.653927813163482
6,5,0.5,mCal,0.6623235613463626
6,5,0.5,Flex,0.6430062630480167
6,5,0.8,Cal,0.6801242236024845
6,5,0.8,mCal,0.6908517350157728
6,5,0.8,Flex,0.678018575851393
6,10,0.2,Cal,0.697508896797153
6,10,0.2,mCal,0.7096774193548386
6,10,0.2,Flex,0.6888567293777135
6,10,0.5,Cal,0.8039492242595204
6,10,0.5,mCal,0.809116809116809
