rep,n,thr,method,f1
0,5,0.2,Cal,0.6834244080145719
0,5,0.2,mCal,0.6815181518151816
0,5,0.2,Flex,0.6807563959955506
0,5,0.5,Cal,0.7343387470997679
0,5,0.5,mCal,0.7375296912114013
0,5,0.5,Flex,0.7220956719817768
0,5,0.8,Cal,0.7834877843302444
0,5,0.8,mCal,0.7928388746803069
0,5,0.8,Flex,0.7815126050420168
0,10,0.2,Cal,0.7845479888490642
0,10,0.2,mCal,0.7808105872622001
0,10,0.2,Flex,0.7692916501780768
0,10,0.5,Cal,0.8415300546448088
0,10,0.5,mCal,0.8428277282086479
0,10,0.5,Flex,0.8293001962066712
0,10,0.8,Cal,0.8533057851239668
0,10,0.8,mCal,0.8533057851239668
0,10,0.8,Flex,0.8420038535645472
0,25,0.2,Cal,0.8784313725490196
0,25,0.2,mCal,0.8784798939460893
0,25,0.2,Flex,0.8778821520068318
0,25,0.5,Cal,0.926470588235294
0,25,0.5,mCal,0.9290989660265878
0,25,0.5,Flex,0.9214285714285714
0,25,0.8,Cal,0.920314253647587
0,25,0.8,mCal,0.920314253647587
0,25,0.8,Flex,0.9275675675675675
1,5,0.2,Cal,0.6982881597717545
1,5,0.2,mCal,0.7140575079872203
1,5,0.2,Flex,0.6982291290205999
1,5,0.5,Cal,0.7734375
1,5,0.5,mCal,0.7835522558537977
1,5,0.5,Flex,0.7612267250821468
1,5,0.8,Cal,0.7802907915993539
1,5,0.8,mCal,0.7828200972447327
1,5,0.8,Flex,0.7765273311897106
1,10,0.2,Cal,0.7702318015453437
1,10,0.2,mCal,0.7727465086754126
1,10,0.2,Flex,0.7668686868686868
1,10,0.5,Cal,0.8544217687074831
1,10,0.5,mCal,0.858122001370802
1,10,0.5,Flex,0.8401048492791613
1,10,0.8,Cal,0.8559754851889683
1,10,0.8,mCal,0.8559754851889683
1,10,0.8,Flex,0.8487712665406427
1,25,0.2,Cal,0.8763748350197975
1,25,0.2,mCal,0.8782880071333036
1,25,0.2,Flex,0.8844827586206897
1,25,0.5,Cal,0.9194729136163983
1,25,0.5,mCal,0.918201915991157
1,25,0.5,Flex,0.9166072701354241
1,25,0.8,Cal,0.8948598130841122
1,25,0.8,mCal,0.8948598130841122
1,25,0.8,Flex,0.9060402684563759
2,5,0.2,Cal,0.6939218523878438
2,5,0.2,mCal,0.7033414832925835
2,5,0.2,Flex,0.6944749359678011
2,5,0.5,Cal,0.7598647125140925
2,5,0.5,mCal,0.7677119628339142
2,5,0.5,Flex,0.7505567928730513
2,5,0.8,Cal,0.7798238590872699
2,5,0.8,mCal,0.7835880933226067
2,5,0.8,Flex,0.7754777070063694
2,10,0.2,Cal,0.7826086956521741
2,10,0.2,mCal,0.7759699624530663
2,10,0.2,Flex,0.7694753577106518
2,10,0.5,Cal,0.8447552447552447
2,10,0.5,mCal,0.8502824858757062
2,10,0.5,Flex,0.8289738430583502
2,10,0.8,Cal,0.8509719222462203
2,10,0.8,mCal,0.8509719222462203
2,10,0.8,Flex,0.8505516549648947
2,25,0.2,Cal,0.8617021276595744
2,25,0.2,mCal,0.8609986504723348
2,25,0.2,Flex,0.8560311284046693
2,25,0.5,Cal,0.9118773946360152
2,25,0.5,mCal,0.9124423963133641
2,25,0.5,Flex,0.9153046062407132
2,25,0.8,Cal,0.9116279069767441
2,25,0.8,mCal,0.9126891734575088
2,25,0.8,Flex,0.9103139013452914
3,5,0.2,Cal,0.7114481762369085
3,5,0.2,mCal,0.7271248474989834
3,5,0.2,Flex,0.7128712871287128
3,5,0.5,Cal,0.7572922399559715
3,5,0.5,mCal,0.7599775154581225
3,5,0.5,Flex,0.747014115092291
3,5,0.8,Cal,0.7750809061488673
3,5,0.8,mCal,0.7852459016393442
3,5,0.8,Flex,0.7744543249797898
3,10,0.2,Cal,0.7732463295269169
3,10,0.2,mCal,0.7729591836734694
3,10,0.2,Flex,0.7601626016260163
3,10,0.5,Cal,0.8271872740419378
3,10,0.5,mCal,0.8311499272197963
3,10,0.5,Flex,0.8203017832647462
3,10,0.8,Cal,0.8581157775255391
3,10,0.8,mCal,0.8581157775255391
3,10,0.8,Flex,0.855072463768116
3,25,0.2,Cal,0.867761452031115
3,25,0.2,mCal,0.8650306748466259
3,25,0.2,Flex,0.860377358490566
3,25,0.5,Cal,0.9108327192336035
3,25,0.5,mCal,0.910436713545522
3,25,0.5,Flex,0.9063400576368876
3,25,0.8,Cal,0.9216799091940975
3,25,0.8,mCal,0.9216799091940975
3,25,0.8,Flex,0.9217199558985667
4,5,0.2,Cal,0.694531522117729
4,5,0.2,mCal,0.7004830917874396
4,5,0.2,Flex,0.6941508104298802
4,5,0.5,Cal,0.7495741056218058
4,5,0.5,mCal,0.7578947368421052
4,5,0.5,Flex,0.7406162464985995
4,5,0.8,Cal,0.756578947368421
4,5,0.8,mCal,0.7597027250206442
4,5,0.8,Flex,0.7540983606557378
4,10,0.2,Cal,0.787445371473977
4,10,0.2,mCal,0.7859793814432989
4,10,0.2,Flex,0.7757671125098348
4,10,0.5,Cal,0.8484438430311232
4,10,0.5,mCal,0.8524813052345344
4,10,0.5,Flex,0.8351507376523413
4,10,0.8,Cal,0.8726899383983573
4,10,0.8,mCal,0.8726899383983573
4,10,0.8,Flex,0.8416030534351144
4,25,0.2,Cal,0.8599913307325532
4,25,0.2,mCal,0.8592788038698329
4,25,0.2,Flex,0.862112855324565
4,25,0.5,Cal,0.888212927756654
4,25,0.5,mCal,0.888042650418888
4,25,0.5,Flex,0.8907063197026022
4,25,0.8,Cal,0.902994011976048
4,25,0.8,mCal,0.902994011976048
4,25,0.8,Flex,0.9166666666666667
5,5,0.2,Cal,0.6833990677662245
5,5,0.2,mCal,0.6905940594059407
5,5,0.2,Flex,0.6825741142443963
5,5,0.5,Cal,0.7578078962875663
5,5,0.5,mCal,0.7543753771876887
5,5,0.5,Flex,0.7446685878962536
5,5,0.8,Cal,0.7451963241436926
5,5,0.8,mCal,0.7527426160337551
5,5,0.8,Flex,0.742714404662781
5,10,0.2,Cal,0.7799999999999999
5,10,0.2,mCal,0.7762442492680885
5,10,0.2,Flex,0.7716346153846153
5,10,0.5,Cal,0.8384341637010676
5,10,0.5,mCal,0.8460431654676259
5,10,0.5,Flex,0.8188010899182562
5,10,0.8,Cal,0.8503253796095445
5,10,0.8,mCal,0.8503253796095445
5,10,0.8,Flex,0.8608608608608609
5,25,0.2,Cal,0.8623935454952936
5,25,0.2,mCal,0.8650362318840579
5,25,0.2,Flex,0.8578993821712267
5,25,0.5,Cal,0.9024767801857585
5,25,0.5,mCal,0.8994544037412315
5,25,0.5,Flex,0.9051204819277109
5,25,0.8,Cal,0.9086538461538461
5,25,0.8,mCal,0.9086538461538461
5,25,0.8,Flex,0.9044879171461451
6,5,0.2,Cal,0.7066335579992904
6,5,0.2,mCal,0.7282051282051282
6,5,0.2,Flex,0.7075812274368232
6,5,0.5,Cal,0.7733910221741482
6,5,0.5,mCal,0.774157923799006
6,5,0.5,Flex,0.7602339181286549
6,5,0.8,Cal,0.763719512195122
6,5,0.8,mCal,0.7689946277820414
6,5,0.8,Flex,0.7631378522467631
6,10,0.2,Cal,0.7721157766000815
6,10,0.2,mCal,0.7680478428022213
6,10,0.2,Flex,0.7574156846810239
6,10,0.5,Cal,0.8623718887262078
6,10,0.5,mCal,0.8653421633554084
6,10,0.5,Flex,0.8445993031358886
6,10,0.8,Cal,0.8613303269447576
6,10,0.8,mCal,0.8613303269447576
6,10,0.8,Flex,0.8562628336755647
6,25,0.2,Cal,0.875
6,25,0.2,mCal,0.8765920070267897
6,25,0.2,Flex,0.8714224690303288
6,25,0.5,Cal,0.90895410082769
6,25,0.5,mCal,0.909502262443439
6,25,0.5,Flex,0.9097525473071325
6,25,0.8,Cal,0.8925619834710744
6,25,0.8,mCal,0.8925619834710744
6,25,0.8,Flex,0.9084745762711864
7,5,0.2,Cal,0.7001477104874446
7,5,0.2,mCal,0.7023608768971332
7,5,0.2,Flex,0.702439024390244
7,5,0.5,Cal,0.7522176227084565
7,5,0.5,mCal,0.7545344619105199
7,5,0.5,Flex,0.7345998848589522
7,5,0.8,Cal,0.7666098807495741
7,5,0.8,mCal,0.7745266781411358
7,5,0.8,Flex,0.7659574468085106
7,10,0.2,Cal,0.774928774928775
7,10,0.2,mCal,0.771706903854299
7,10,0.2,Flex,0.7609834744054816
7,10,0.5,Cal,0.8291636883488206
7,10,0.5,mCal,0.8328530259365994
7,10,0.5,Flex,0.8116531165311652
7,10,0.8,Cal,0.8386363636363636
7,10,0.8,mCal,0.8386363636363636
7,10,0.8,Flex,0.8279457768508864
7,25,0.2,Cal,0.8757602085143353
7,25,0.2,mCal,0.8756613756613756
7,25,0.2,Flex,0.8689011455239711
7,25,0.5,Cal,0.9159727479182439
7,25,0.5,mCal,0.9157175398633257
7,25,0.5,Flex,0.904029304029304
7,25,0.8,Cal,0.9291521486643438
7,25,0.8,mCal,0.9291521486643438
7,25,0.8,Flex,0.9363128491620111
8,5,0.2,Cal,0.7056381874783813
8,5,0.2,mCal,0.7178683385579937
8,5,0.2,Flex,0.6999648258881463
8,5,0.5,Cal,0.7449259462424576
8,5,0.5,mCal,0.7549295774647886
8,5,0.5,Flex,0.7297152068780225
8,5,0.8,Cal,0.7492211838006232
8,5,0.8,mCal,0.7545098039215686
8,5,0.8,Flex,0.7492211838006232
8,10,0.2,Cal,0.7920560747663551
8,10,0.2,mCal,0.7936636880584892
8,10,0.2,Flex,0.7837626854020296
8,10,0.5,Cal,0.8401826484018263
8,10,0.5,mCal,0.8436268068331143
8,10,0.5,Flex,0.8286604361370716
8,10,0.8,Cal,0.8583078491335372
8,10,0.8,mCal,0.8583078491335372
8,10,0.8,Flex,0.8417132216014896
8,25,0.2,Cal,0.8769435806308307
8,25,0.2,mCal,0.882882882882883
8,25,0.2,Flex,0.8680555555555556
8,25,0.5,Cal,0.8957703927492446
8,25,0.5,mCal,0.899696048632219
8,25,0.5,Flex,0.8934306569343066
8,25,0.8,Cal,0.8939213349225268
8,25,0.8,mCal,0.8949880668257757
8,25,0.8,Flex,0.8998849252013809
9,5,0.2,Cal,0.7080028839221343
9,5,0.2,mCal,0.703099510603589
9,5,0.2,Flex,0.7062271062271062
9,5,0.5,Cal,0.7539085118702954
9,5,0.5,mCal,0.7603305785123967
9,5,0.5,Flex,0.7394007914075749
9,5,0.8,Cal,0.7693588676103248
9,5,0.8,mCal,0.779746835443038
9,5,0.8,Flex,0.7680798004987531
9,10,0.2,Cal,0.77632101708383
9,10,0.2,mCal,0.775206611570248
9,10,0.2,Flex,0.7625842251288149
9,10,0.5,Cal,0.8492392807745505
9,10,0.5,mCal,0.854152128401954
9,10,0.5,Flex,0.8361730013106161
9,10,0.8,Cal,0.8635437881873728
9,10,0.8,mCal,0.8635437881873728
9,10,0.8,Flex,0.8568683957732949
9,25,0.2,Cal,0.8699592206615314
9,25,0.2,mCal,0.8698035632709
9,25,0.2,Flex,0.8618101545253863
9,25,0.5,Cal,0.9165378670788253
9,25,0.5,mCal,0.9179566563467493
9,25,0.5,Flex,0.9149736644093303
9,25,0.8,Cal,0.9304932735426009
9,25,0.8,mCal,0.9292929292929293
9,25,0.8,Flex,0.9355191256830602
10,5,0.2,Cal,0.6955287437899219
10,5,0.2,mCal,0.6999597261377366
10,5,0.2,Flex,0.6956209619526201
10,5,0.5,Cal,0.7497129735935706
10,5,0.5,mCal,0.7451442024720424
10,5,0.5,Flex,0.7312430011198208
10,5,0.8,Cal,0.783387622149837
10,5,0.8,mCal,0.7917695473251029
10,5,0.8,Flex,0.7805668016194331
10,10,0.2,Cal,0.784879189399844
10,10,0.2,mCal,0.7839805825242718
10,10,0.2,Flex,0.7722308892355694
10,10,0.5,Cal,0.8409846972721224
10,10,0.5,mCal,0.8481182795698924
10,10,0.5,Flex,0.8320707070707071
10,10,0.8,Cal,0.8790322580645161
10,10,0.8,mCal,0.8790322580645161
10,10,0.8,Flex,0.8688372093023257
10,25,0.2,Cal,0.8736335811106252
10,25,0.2,mCal,0.8687138406764575
10,25,0.2,Flex,0.8664662945470158
10,25,0.5,Cal,0.9064856711915535
10,25,0.5,mCal,0.9077155824508321
10,25,0.5,Flex,0.9015317286652079
10,25,0.8,Cal,0.9136939010356732
10,25,0.8,mCal,0.9122401847575057
10,25,0.8,Flex,0.9113082039911309
11,5,0.2,Cal,0.6959628438728117
11,5,0.2,mCal,0.6977491961414791
11,5,0.2,Flex,0.6963123644251628
11,5,0.5,Cal,0.7571265678449258
11,5,0.5,mCal,0.762801648028252
11,5,0.5,Flex,0.747191011235955
11,5,0.8,Cal,0.791044776119403
11,5,0.8,mCal,0.7956630525437866
11,5,0.8,Flex,0.7884297520661158
11,10,0.2,Cal,0.7838999609222351
11,10,0.2,mCal,0.7849939491730537
11,10,0.2,Flex,0.7710843373493974
11,10,0.5,Cal,0.8288659793814432
11,10,0.5,mCal,0.8328729281767957
11,10,0.5,Flex,0.8031088082901554
11,10,0.8,Cal,0.8598930481283423
11,10,0.8,mCal,0.8598930481283423
11,10,0.8,Flex,0.8334956183057448
11,25,0.2,Cal,0.8546255506607929
11,25,0.2,mCal,0.8543342269883825
11,25,0.2,Flex,0.849633778543731
11,25,0.5,Cal,0.9089506172839507
11,25,0.5,mCal,0.9071207430340558
11,25,0.5,Flex,0.9028400597907325
11,25,0.8,Cal,0.9036144578313253
11,25,0.8,mCal,0.9036144578313253
11,25,0.8,Flex,0.9143518518518519
12,5,0.2,Cal,0.6860043509789703
12,5,0.2,mCal,0.702834008097166
12,5,0.2,Flex,0.685965555148406
12,5,0.5,Cal,0.7539149888143177
12,5,0.5,mCal,0.761631246410109
12,5,0.5,Flex,0.7406593406593406
12,5,0.8,Cal,0.769835035349568
12,5,0.8,mCal,0.7759303246239112
12,5,0.8,Flex,0.769835035349568
12,10,0.2,Cal,0.7710261569416499
12,10,0.2,mCal,0.7650780261493041
12,10,0.2,Flex,0.7546868767451137
12,10,0.5,Cal,0.8444119795471148
12,10,0.5,mCal,0.8506254598969831
12,10,0.5,Flex,0.8306841741534209
12,10,0.8,Cal,0.8646188850967007
12,10,0.8,mCal,0.8646188850967007
12,10,0.8,Flex,0.8456790123456791
12,25,0.2,Cal,0.8809318377911992
12,25,0.2,mCal,0.8774080560420315
12,25,0.2,Flex,0.876271186440678
12,25,0.5,Cal,0.8996336996336997
12,25,0.5,mCal,0.8998527245949928
12,25,0.5,Flex,0.9006342494714588
12,25,0.8,Cal,0.9005847953216374
12,25,0.8,mCal,0.9005847953216374
12,25,0.8,Flex,0.910935738444194
13,5,0.2,Cal,0.6711743772241994
13,5,0.2,mCal,0.6696758309396799
13,5,0.2,Flex,0.6671506352087114
13,5,0.5,Cal,0.7268464243845252
13,5,0.5,mCal,0.7312086590499098
13,5,0.5,Flex,0.7129735935706085
13,5,0.8,Cal,0.7630662020905923
13,5,0.8,mCal,0.7697715289982425
13,5,0.8,Flex,0.7617391304347826
13,10,0.2,Cal,0.7917329093799682
13,10,0.2,mCal,0.7862468931234465
13,10,0.2,Flex,0.7807190833662584
13,10,0.5,Cal,0.827681660899654
13,10,0.5,mCal,0.8326359832635983
13,10,0.5,Flex,0.8168089297439264
13,10,0.8,Cal,0.8583509513742071
13,10,0.8,mCal,0.8583509513742071
13,10,0.8,Flex,0.8428158148505305
13,25,0.2,Cal,0.863951473136915
13,25,0.2,mCal,0.8676923076923077
13,25,0.2,Flex,0.8624946785866326
13,25,0.5,Cal,0.9138305575669805
13,25,0.5,mCal,0.9141193595342066
13,25,0.5,Flex,0.9092178770949721
13,25,0.8,Cal,0.907469342251951
13,25,0.8,mCal,0.907469342251951
13,25,0.8,Flex,0.9149623250807319
14,5,0.2,Cal,0.7090847226947943
14,5,0.2,mCal,0.7064676616915424
14,5,0.2,Flex,0.7038062283737024
14,5,0.5,Cal,0.7611379495437467
14,5,0.5,mCal,0.7720264317180617
14,5,0.5,Flex,0.7501320655044903
14,5,0.8,Cal,0.7978395061728395
14,5,0.8,mCal,0.8046692607003891
14,5,0.8,Flex,0.794162826420891
14,10,0.2,Cal,0.7724477244772446
14,10,0.2,mCal,0.7745516652433817
14,10,0.2,Flex,0.760081466395112
14,10,0.5,Cal,0.8284457478005867
14,10,0.5,mCal,0.8339483394833949
14,10,0.5,Flex,0.8148148148148148
14,10,0.8,Cal,0.8380281690140846
14,10,0.8,mCal,0.8380281690140846
14,10,0.8,Flex,0.8413205537806177
14,25,0.2,Cal,0.8852596314907873
14,25,0.2,mCal,0.8833474218089603
14,25,0.2,Flex,0.8811881188118812
14,25,0.5,Cal,0.915977961432507
14,25,0.5,mCal,0.9177608845888044
14,25,0.5,Flex,0.9070234113712373
14,25,0.8,Cal,0.9225941422594142
14,25,0.8,mCal,0.9225941422594142
14,25,0.8,Flex,0.932527693856999
15,5,0.2,Cal,0.700646087580761
15,5,0.2,mCal,0.7119871279163316
15,5,0.2,Flex,0.6977761574917973
15,5,0.5,Cal,0.7654741624077228
15,5,0.5,mCal,0.7738927738927738
15,5,0.5,Flex,0.7504168982768205
15,5,0.8,Cal,0.7720706260032103
15,5,0.8,mCal,0.7821138211382115
15,5,0.8,Flex,0.7714514835605453
15,10,0.2,Cal,0.7808383233532934
15,10,0.2,mCal,0.7766179540709813
15,10,0.2,Flex,0.7691076430572229
15,10,0.5,Cal,0.839112343966713
15,10,0.5,mCal,0.8425472358292512
15,10,0.5,Flex,0.8187830687830688
15,10,0.8,Cal,0.8478260869565218
15,10,0.8,mCal,0.8478260869565218
15,10,0.8,Flex,0.8477611940298508
15,25,0.2,Cal,0.874777975133215
15,25,0.2,mCal,0.8728089887640449
15,25,0.2,Flex,0.870842332613391
15,25,0.5,Cal,0.9192452830188679
15,25,0.5,mCal,0.9191232048374905
15,25,0.5,Flex,0.9193899782135075
15,25,0.8,Cal,0.9287356321839081
15,25,0.8,mCal,0.9275028768699655
15,25,0.8,Flex,0.9314159292035399
16,5,0.2,Cal,0.6864035087719299
16,5,0.2,mCal,0.6946847960444993
16,5,0.2,Flex,0.6855862584017924
16,5,0.5,Cal,0.735191637630662
16,5,0.5,mCal,0.7427557658190419
16,5,0.5,Flex,0.7187323146576117
16,5,0.8,Cal,0.772344013490725
16,5,0.8,mCal,0.7855917667238422
16,5,0.8,Flex,0.7697478991596638
16,10,0.2,Cal,0.7719159063863547
16,10,0.2,mCal,0.773081657775954
16,10,0.2,Flex,0.7619795758051846
16,10,0.5,Cal,0.8593639575971731
16,10,0.5,mCal,0.8607954545454546
16,10,0.5,Flex,0.8428860418071477
16,10,0.8,Cal,0.869179600886918
16,10,0.8,mCal,0.869179600886918
16,10,0.8,Flex,0.8452982810920122
16,25,0.2,Cal,0.8573928258967628
16,25,0.2,mCal,0.8572695035460993
16,25,0.2,Flex,0.8572638712409996
16,25,0.5,Cal,0.9176829268292682
16,25,0.5,mCal,0.918133129303749
16,25,0.5,Flex,0.9084139985107967
16,25,0.8,Cal,0.9053892215568862
16,25,0.8,mCal,0.9053892215568862
16,25,0.8,Flex,0.9054842473745623
17,5,0.2,Cal,0.6809557273366128
17,5,0.2,mCal,0.698348771647201
17,5,0.2,Flex,0.6804123711340206
17,5,0.5,Cal,0.7312320916905444
17,5,0.5,mCal,0.7324766355140186
17,5,0.5,Flex,0.7195053400786959
17,5,0.8,Cal,0.7506471095772217
17,5,0.8,mCal,0.7565217391304346
17,5,0.8,Flex,0.7480653482373172
17,10,0.2,Cal,0.7871267933307483
17,10,0.2,mCal,0.7871649065800163
17,10,0.2,Flex,0.7773467804499613
17,10,0.5,Cal,0.8337874659400546
17,10,0.5,mCal,0.8371134020618556
17,10,0.5,Flex,0.8106355382619975
17,10,0.8,Cal,0.8763326226012792
17,10,0.8,mCal,0.8763326226012792
17,10,0.8,Flex,0.8624390243902439
17,25,0.2,Cal,0.8721675929884567
17,25,0.2,mCal,0.8738621586475943
17,25,0.2,Flex,0.8695652173913044
17,25,0.5,Cal,0.9126925898752751
17,25,0.5,mCal,0.9108327192336035
17,25,0.5,Flex,0.9041487839771103
17,25,0.8,Cal,0.9266155531215772
17,25,0.8,mCal,0.9266155531215772
17,25,0.8,Flex,0.928495197438634
18,5,0.2,Cal,0.6942743968311127
18,5,0.2,mCal,0.6996699669966997
18,5,0.2,Flex,0.693235831809872
18,5,0.5,Cal,0.7472009428403065
18,5,0.5,mCal,0.7516457211250748
18,5,0.5,Flex,0.7358053302433373
18,5,0.8,Cal,0.778588807785888
18,5,0.8,mCal,0.7868852459016394
