rep,n,method,rmse
0,5,BS,27.080658232955354
0,5,Rag,29.731981170435695
0,5,Supp,137.56586320077633
0,5,Cal,42.70806233978301
0,5,mCal,18.680147319363904
0,5,Flex,22.182752780403316
0,10,BS,12.812421270423869
0,10,Rag,17.973051990218043
0,10,Supp,125.85212873546595
0,10,Cal,19.880790922200536
0,10,mCal,10.556449767268962
0,10,Flex,11.538704518452677
0,25,BS,6.316283056637303
0,25,Rag,9.688009183470507
0,25,Supp,2923.5159423418663
0,25,Cal,7.951960769011957
0,25,mCal,6.238258172589073
0,25,Flex,5.4773335603982
1,5,BS,25.276896123508877
1,5,Rag,33.70087398155791
1,5,Supp,136.0053316411762
1,5,Cal,42.67887848319234
1,5,mCal,17.87934587562557
1,5,Flex,21.846580688587398
1,10,BS,13.712300846653607
1,10,Rag,17.518341884135776
1,10,Supp,122.71428142797596
1,10,Cal,21.08335207839387
1,10,mCal,11.397554091404123
1,10,Flex,12.86249572013944
1,25,BS,6.581645881107641
1,25,Rag,10.483002057484933
1,25,Supp,646.474539887835
1,25,Cal,8.949183048473225
1,25,mCal,6.324346258857807
1,25,Flex,6.396653056546697
2,5,BS,22.2246028519945
2,5,Rag,28.42114205372333
2,5,Supp,128.08732991451518
2,5,Cal,40.73116332120032
2,5,mCal,15.909237801760034
2,5,Flex,19.47200722532822
2,10,BS,13.647300440160251
2,10,Rag,14.38854957874962
2,10,Supp,133.81461465180428
2,10,Cal,20.360778541109607
2,10,mCal,10.818137871076123
2,10,Flex,12.102291375530918
2,25,BS,6.66508336720198
2,25,Rag,11.502985739096584
2,25,Supp,2933.422285558555
2,25,Cal,8.45941462236084
2,25,mCal,6.484318230429723
2,25,Flex,6.046623293977627
3,5,BS,28.466988753487996
3,5,Rag,31.613193468295925
3,5,Supp,131.27377738976213
3,5,Cal,42.287590055181305
3,5,mCal,19.22818159509102
3,5,Flex,22.676831446961334
3,10,BS,14.739969184669498
3,10,Rag,18.16667951502374
3,10,Supp,120.78102022521088
3,10,Cal,22.662787872948826
3,10,mCal,12.140840535992334
3,10,Flex,14.775839220493738
3,25,BS,6.976897964517024
3,25,Rag,11.73424555359392
3,25,Supp,1047.237525657967
3,25,Cal,8.564346975002438
3,25,mCal,6.821675975629456
3,25,Flex,6.440388892374072
4,5,BS,24.32079232347409
4,5,Rag,29.192513803745946
4,5,Supp,139.0637981880198
4,5,Cal,41.00578891757169
4,5,mCal,17.33156947173261
4,5,Flex,20.762793538887323
4,10,BS,13.438195099832065
4,10,Rag,17.178806597578916
4,10,Supp,115.73364752038918
4,10,Cal,20.88494397767016
4,10,mCal,11.217331655959606
4,10,Flex,12.427888351113618
4,25,BS,6.536848920544713
4,25,Rag,9.349780939806488
4,25,Supp,496.5430214688169
4,25,Cal,8.322982904497362
4,25,mCal,6.371011277897625
4,25,Flex,5.928960898601984
5,5,BS,24.345619488999386
5,5,Rag,27.59506669822995
5,5,Supp,131.621351840566
5,5,Cal,42.559012709844474
5,5,mCal,17.060817891770384
5,5,Flex,21.298186727126645
5,10,BS,13.412115034284744
5,10,Rag,15.682540624890802
5,10,Supp,129.14541020704004
5,10,Cal,21.289861122126812
5,10,mCal,11.070806125806994
5,10,Flex,12.556546582566936
5,25,BS,7.110917559540141
5,25,Rag,11.886785905150942
5,25,Supp,817.7661259222845
5,25,Cal,8.991609803284621
5,25,mCal,6.800316886881334
5,25,Flex,6.644162404972787
6,5,BS,25.91752522826942
6,5,Rag,29.787347136602566
6,5,Supp,133.07012577089486
6,5,Cal,41.30025144965009
6,5,mCal,17.443568400937615
6,5,Flex,20.11233767527105
6,10,BS,14.329117882155938
6,10,Rag,17.803240099925198
6,10,Supp,110.53677364957129
6,10,Cal,20.705371196114463
6,10,mCal,11.957708968728719
6,10,Flex,13.101954552101594
6,25,BS,7.157543734619441
6,25,Rag,10.607466197716807
6,25,Supp,1723.802628853311
6,25,Cal,9.267348940715586
6,25,mCal,6.670139680849219
6,25,Flex,6.877293488469048
7,5,BS,23.52743747760758
7,5,Rag,28.864552920096845
7,5,Supp,137.8152608967941
7,5,Cal,40.73638760562633
7,5,mCal,17.103707941473257
7,5,Flex,20.126805157043915
7,10,BS,13.622598634168893
7,10,Rag,20.310030120245273
7,10,Supp,113.35567112349726
7,10,Cal,21.728672748421424
7,10,mCal,11.098652660821877
7,10,Flex,13.313811559356743
7,25,BS,6.8608834367407585
7,25,Rag,11.168090570889747
7,25,Supp,827.0208721061922
7,25,Cal,8.624099345641934
7,25,mCal,6.562915257161396
7,25,Flex,6.345014136174779
8,5,BS,24.01019488479622
8,5,Rag,31.028901247854954
8,5,Supp,137.81990809898068
8,5,Cal,41.9994785460362
8,5,mCal,17.16969570979233
8,5,Flex,20.63625151590286
8,10,BS,13.22330716824715
8,10,Rag,19.551367139056467
8,10,Supp,121.1168946790694
8,10,Cal,19.878525790012702
8,10,mCal,10.830174554595535
8,10,Flex,12.016487703111812
8,25,BS,7.339905675998991
8,25,Rag,10.491137385477826
8,25,Supp,1776.1270403789442
8,25,Cal,9.173452203814845
8,25,mCal,7.117146072786012
8,25,Flex,6.9472239107940394
9,5,BS,23.584887853311713
9,5,Rag,31.182244135127632
9,5,Supp,149.55888916070538
9,5,Cal,41.121406270237244
9,5,mCal,16.639825046137215
9,5,Flex,19.23010640189321
9,10,BS,13.650641780010073
9,10,Rag,19.72674753203122
9,10,Supp,140.38701074165036
9,10,Cal,20.952669466409436
9,10,mCal,11.30331749807824
9,10,Flex,12.768314271750876
9,25,BS,6.547138948394426
9,25,Rag,11.269328233825117
9,25,Supp,4734.757954986186
9,25,Cal,8.26362116094201
9,25,mCal,6.163060124567206
