pop,rep,n,bin,method,bias,variance,rmse,binlabel
AFR,0,5,0,4r2,0.9423425493794171,1.610204360666907,1.5805738961016047,0-1000
AFR,0,5,1,4r2,1.0592736179363949,1.3361629951381764,1.5678723139319208,1000-10000
AFR,0,5,2,4r2,1.0097704156714342,1.1086372017055743,1.458860340838298,10000-100000
AFR,0,5,3,4r2,0.9810324464638822,1.0805481361568754,1.4293259940166851,100000-1000000
AFR,0,10,0,4r2,0.4942355454036428,0.8907174448413187,1.0653573199550257,0-1000
AFR,0,10,1,4r2,0.3999565861686334,0.4625870432416191,0.7890198438957581,1000-10000
AFR,0,10,2,4r2,0.4449043549835993,0.42525692264690335,0.7894281523547763,10000-100000
AFR,0,10,3,4r2,0.4583743241947244,0.38083418694808896,0.7687270048782332,100000-1000000
AFR,0,25,0,4r2,0.13431813578652377,0.1902852839702952,0.45642813845277136,0-1000
AFR,0,25,1,4r2,0.13691904262368082,0.1197256574230913,0.37211890795292385,1000-10000
AFR,0,25,2,4r2,0.14210388421860942,0.06062820613241568,0.28429161092517596,10000-100000
AFR,0,25,3,4r2,0.16235205689316268,0.10577360851031287,0.36349937948743954,100000-1000000
AFR,1,5,0,4r2,1.0472379981537456,1.5714650268426569,1.6334541473882032,0-1000
AFR,1,5,1,4r2,0.9233526668079912,1.1927058558701285,1.4301349597753206,1000-10000
AFR,1,5,2,4r2,0.9840959853916934,1.1804930819462285,1.4659256428653797,10000-100000
AFR,1,5,3,4r2,0.9592768909042093,0.9551005703361022,1.3694205795733276,100000-1000000
AFR,1,10,0,4r2,0.39263187925909165,0.6780842094742368,0.9122740827650223,0-1000
AFR,1,10,1,4r2,0.39126608823232223,0.5180851810693303,0.8192523011075121,1000-10000
AFR,1,10,2,4r2,0.4453961938115361,0.443569028261715,0.8012158246836607,10000-100000
AFR,1,10,3,4r2,0.4003384742693427,0.29088355913247105,0.671680320623417,100000-1000000
AFR,1,25,0,4r2,0.1337060657376431,0.21706506520362978,0.48470854873693814,0-1000
AFR,1,25,1,4r2,0.15171365985647955,0.20690879344744795,0.47950581647618784,1000-10000
AFR,1,25,2,4r2,0.14787577501435373,0.06841115271778914,0.3004636376566803,10000-100000
AFR,1,25,3,4r2,0.16736691366367307,0.08935690209538821,0.3425909892053374,100000-1000000
AFR,2,5,0,4r2,0.9525708229712079,1.3971770959183982,1.5180804552771379,0-1000
AFR,2,5,1,4r2,0.9206019547621755,1.2247891285479449,1.4395475287950321,1000-10000
AFR,2,5,2,4r2,1.0539848176670257,1.3088159189036492,1.5555384645762518,10000-100000
AFR,2,5,3,4r2,0.9408449880734454,0.9470067801940617,1.3535863739625127,100000-1000000
AFR,2,10,0,4r2,0.4691200734972786,0.6516208014263023,0.9336457812170493,0-1000
AFR,2,10,1,4r2,0.44033662841389715,0.5250761313472583,0.847922447910289,1000-10000
AFR,2,10,2,4r2,0.4946246680483962,0.5672764669669332,0.9010716004896167,10000-100000
AFR,2,10,3,4r2,0.4114042993958222,0.34360311768747454,0.7161400807445718,100000-1000000
AFR,2,25,0,4r2,0.14543207440834213,0.21346900200822014,0.4843753609288293,0-1000
AFR,2,25,1,4r2,0.16402005065964884,0.2263491729461412,0.5032412442999232,1000-10000
AFR,2,25,2,4r2,0.1638175505518729,0.08241361796247268,0.3305295869226961,10000-100000
AFR,2,25,3,4r2,0.15489122236610764,0.051294384203585425,0.2743823517824214,100000-1000000
AFR,3,5,0,4r2,1.023648222786391,1.4636680562308126,1.5847787669717655,0-1000
AFR,3,5,1,4r2,0.8989506619501247,1.1422727821615752,1.3965618764602385,1000-10000
AFR,3,5,2,4r2,0.9212866606873078,0.9664863950311349,1.3473141824353758,10000-100000
AFR,3,5,3,4r2,0.9988040200931008,1.212261240173662,1.4865633894078656,100000-1000000
AFR,3,10,0,4r2,0.46367777562628726,0.731984834214286,0.9731299573150688,0-1000
AFR,3,10,1,4r2,0.40016049631702033,0.47342705653807515,0.7959619836089907,1000-10000
AFR,3,10,2,4r2,0.4225596712217865,0.4855318652436616,0.814916278513766,10000-100000
AFR,3,10,3,4r2,0.4180397299681914,0.428943778126474,0.7769819778851711,100000-1000000
AFR,3,25,0,4r2,0.14312490748769985,0.22026953980923558,0.490667177374438,0-1000
AFR,3,25,1,4r2,0.14919223526704842,0.09160224104956413,0.3374323104172783,1000-10000
AFR,3,25,2,4r2,0.1609609723361314,0.098855401601014,0.3532192466675717,10000-100000
AFR,3,25,3,4r2,0.1545440233526703,0.05982626186876896,0.2893270070746934,100000-1000000
AFR,4,5,0,4r2,0.9310990335081886,1.4080905412734939,1.5083222306501276,0-1000
AFR,4,5,1,4r2,1.0108317636897521,1.2983012396426978,1.523181569651771,1000-10000
AFR,4,5,2,4r2,0.9846302426073744,1.0824450688759975,1.432460046051217,10000-100000
AFR,4,5,3,4r2,1.0746884398396417,1.2571117298582328,1.553083053987518,100000-1000000
AFR,4,10,0,4r2,0.4271123506256286,0.8306960547518674,1.0065391273114113,0-1000
AFR,4,10,1,4r2,0.4196371591761826,0.5364616154414937,0.8441308908000883,1000-10000
AFR,4,10,2,4r2,0.5062021079292172,0.5593062994151654,0.9030763386819235,10000-100000
AFR,4,10,3,4r2,0.4273088815928165,0.37026002418008075,0.7435407887050881,100000-1000000
AFR,4,25,0,4r2,0.14191308187499257,0.22999578807694654,0.5001350926341851,0-1000
AFR,4,25,1,4r2,0.14720667737318271,0.10574803187008967,0.3569563527006376,1000-10000
AFR,4,25,2,4r2,0.15734408065152172,0.06786010321724895,0.30433084453160764,10000-100000
AFR,4,25,3,4r2,0.15839900329404538,0.06423616403574453,0.2988752386536756,100000-1000000
AFR,5,5,0,4r2,0.9659698220036791,1.4978705767541822,1.5591562698382744,0-1000
AFR,5,5,1,4r2,0.9074768026797139,1.157342372471889,1.4074290461240613,1000-10000
AFR,5,5,2,4r2,0.9885988799116437,1.0229106394632699,1.414297841625245,10000-100000
AFR,5,5,3,4r2,0.963280962637551,1.0580904197910304,1.409255346901674,100000-1000000
AFR,5,10,0,4r2,0.3399428788476243,0.5725733519057684,0.8295387349515265,0-1000
AFR,5,10,1,4r2,0.3951361129759543,0.45063221289719224,0.7789510643647253,1000-10000
AFR,5,10,2,4r2,0.39201353840908937,0.326044950980921,0.6926179071298515,10000-100000
AFR,5,10,3,4r2,0.4249397334340754,0.3421438486288298,0.7229921338990161,100000-1000000
AFR,5,25,0,4r2,0.17029424818525501,0.25403942963469395,0.5320146244227457,0-1000
AFR,5,25,1,4r2,0.13720857867939176,0.15188726326322205,0.4131748507913337,1000-10000
AFR,5,25,2,4r2,0.13508484944315044,0.04526029703151702,0.2520083601402851,10000-100000
AFR,5,25,3,4r2,0.14902398729197824,0.04354672456152224,0.2564271306822309,100000-1000000
AFR,6,5,0,4r2,0.9322616359790343,1.4729389439558014,1.53037600016274,0-1000
AFR,6,5,1,4r2,0.8251088884692418,0.9305392211355322,1.2693872139605313,1000-10000
AFR,6,5,2,4r2,0.9657497325929185,1.0711001020441702,1.4155467664642747,10000-100000
AFR,6,5,3,4r2,0.9749399469629155,1.1626044624371081,1.4536548292566434,100000-1000000
AFR,6,10,0,4r2,0.44595883778269907,0.7792758451791636,0.9890172547411189,0-1000
AFR,6,10,1,4r2,0.42309726645587065,0.48457999811446245,0.814611131152093,1000-10000
AFR,6,10,2,4r2,0.4290064818878666,0.33979553288712117,0.7237693654672914,10000-100000
AFR,6,10,3,4r2,0.501556701456371,0.4758784240064547,0.8528994951236928,100000-1000000
AFR,6,25,0,4r2,0.1556916713807695,0.23741858603237767,0.5115256421429087,0-1000
AFR,6,25,1,4r2,0.14408741221384122,0.12127589148032353,0.3768780622944309,1000-10000
AFR,6,25,2,4r2,0.17340762742461446,0.10893320349448098,0.37283160909922175,10000-100000
AFR,6,25,3,4r2,0.1456506244372436,0.04340593977799124,0.2542047288642566,100000-1000000
AFR,7,5,0,4r2,0.8437556988052904,1.2922838877691476,1.4157003803897037,0-1000
AFR,7,5,1,4r2,1.0739528058943233,1.391622012273666,1.5953045607538254,1000-10000
AFR,7,5,2,4r2,1.0380399736708101,1.16141172067924,1.4963083598034652,10000-100000
AFR,7,5,3,4r2,0.9332288587061006,0.9921898252468595,1.3649563831744773,100000-1000000
AFR,7,10,0,4r2,0.4761631408455878,0.7152490423582747,0.9705567366507791,0-1000
AFR,7,10,1,4r2,0.46729855258012565,0.5468577977479449,0.8747718188141553,1000-10000
AFR,7,10,2,4r2,0.46281912130302527,0.4292631066583187,0.8021624808615915,10000-100000
AFR,7,10,3,4r2,0.40463603632783873,0.3481356478878186,0.715448090208453,100000-1000000
AFR,7,25,0,4r2,0.10833728052718236,0.21779486062681588,0.4790947995739896,0-1000
AFR,7,25,1,4r2,0.1685460487311569,0.1253993280532455,0.3921824812458239,1000-10000
AFR,7,25,2,4r2,0.17413321928232342,0.12214234903658676,0.39046731885551256,10000-100000
AFR,7,25,3,4r2,0.16250452203011506,0.1001934808594369,0.35581062454580115,100000-1000000
AFR,8,5,0,4r2,1.027551641648069,1.6390389739307858,1.6416154696470264,0-1000
AFR,8,5,1,4r2,0.8983102785380476,1.1584608961583447,1.4019351813423648,1000-10000
AFR,8,5,2,4r2,1.0330890263885326,1.328058256661606,1.547685753990781,10000-100000
AFR,8,5,3,4r2,1.046222984545326,1.1635489615129249,1.5027080537828545,100000-1000000
AFR,8,10,0,4r2,0.4027583933535938,0.6740320953293281,0.9144650997966496,0-1000
AFR,8,10,1,4r2,0.4267505014645826,0.5065878361461784,0.8298818148667021,1000-10000
AFR,8,10,2,4r2,0.5160140211106334,0.5970698998260131,0.9291611107922987,10000-100000
AFR,8,10,3,4r2,0.4281391216743302,0.26981718633168494,0.6731421052346613,100000-1000000
AFR,8,25,0,4r2,0.11295909291410068,0.20420048668248225,0.4657899133240851,0-1000
AFR,8,25,1,4r2,0.1407148435377491,0.15419151119243857,0.417123696742695,1000-10000
AFR,8,25,2,4r2,0.17717760662762808,0.11216005608960121,0.3788825152733968,10000-100000
AFR,8,25,3,4r2,0.15748738657453332,0.06290656264388894,0.296156782083351,100000-1000000
AFR,9,5,0,4r2,0.9948503104132987,1.5704522268623942,1.6000560512031543,0-1000
AFR,9,5,1,4r2,1.039120461890845,1.3964899264690618,1.5736140761919057,1000-10000
AFR,9,5,2,4r2,0.9429634476713287,1.0302475501683745,1.3854340885847196,10000-100000
AFR,9,5,3,4r2,0.9847879864326052,1.0100834643402885,1.407085940005895,100000-1000000
AFR,9,10,0,4r2,0.4310366829421626,0.6427902640525079,0.9102652833621033,0-1000
AFR,9,10,1,4r2,0.4195170539167685,0.43340110806823956,0.7806379869025363,1000-10000
AFR,9,10,2,4r2,0.4737822749200306,0.5001223705693981,0.8512297073045545,10000-100000
AFR,9,10,3,4r2,0.4106353798968353,0.3283776294911862,0.704981591755561,100000-1000000
AFR,9,25,0,4r2,0.14913445479018744,0.21353053709228745,0.48556320154831945,0-1000
AFR,9,25,1,4r2,0.1704988569080909,0.15798428426454758,0.43249756585617133,1000-10000
AFR,9,25,2,4r2,0.17825660163520646,0.1034420231511228,0.367719239607687,10000-100000
AFR,9,25,3,4r2,0.17172815199506103,0.10094248753888248,0.3611551546448164,100000-1000000
AFR,10,5,0,4r2,1.065638957801255,1.79020675212968,1.710494998681208,0-1000
AFR,10,5,1,4r2,0.9962024983514141,1.2957960230951044,1.5126848451732118,1000-10000
AFR,10,5,2,4r2,1.057042754168143,1.1213269899710883,1.4962173552363511,10000-100000
AFR,10,5,3,4r2,1.0959857175712377,1.2491746585480468,1.5653623707206545,100000-1000000
AFR,10,10,0,4r2,0.46716681280575756,0.7723809282209335,0.9953018432656614,0-1000
AFR,10,10,1,4r2,0.43297347368215017,0.5246090115229223,0.8438453889400059,1000-10000
AFR,10,10,2,4r2,0.4046304079270147,0.3184065993853105,0.6943575205933128,10000-100000
AFR,10,10,3,4r2,0.4081617338792178,0.2791614177609521,0.6676506712078117,100000-1000000
AFR,10,25,0,4r2,0.12734172961758625,0.2414009076333501,0.5075596750485095,0-1000
AFR,10,25,1,4r2,0.12148795104944084,0.1196038936156743,0.36655588368742037,1000-10000
AFR,10,25,2,4r2,0.1775071247568463,0.09060756099830151,0.3494514849557004,10000-100000
AFR,10,25,3,4r2,0.16335767690663858,0.05757721966368445,0.2902808127796568,100000-1000000
AFR,11,5,0,4r2,1.127563147054637,1.7491765940467345,1.737980219865143,0-1000
AFR,11,5,1,4r2,1.0560828503177424,1.4938511688355975,1.6152901149858017,1000-10000
AFR,11,5,2,4r2,0.9130949129239503,1.040871941348592,1.3691655346802258,10000-100000
AFR,11,5,3,4r2,1.0143599902516938,1.2362999938262218,1.505066836937695,100000-1000000
AFR,11,10,0,4r2,0.4106237219516814,0.708454608427241,0.9365182590087033,0-1000
AFR,11,10,1,4r2,0.39322390877818497,0.4326667856203572,0.7663496774026538,1000-10000
AFR,11,10,2,4r2,0.4433162364713042,0.4089462593564167,0.7781230910823159,10000-100000
AFR,11,10,3,4r2,0.43633100846215456,0.35539809898790253,0.7387711742708315,100000-1000000
AFR,11,25,0,4r2,0.15412539565059397,0.2683276270231808,0.5404463568270518,0-1000
AFR,11,25,1,4r2,0.17145812324779452,0.18768658397532934,0.46592324690123077,1000-10000
AFR,11,25,2,4r2,0.1576320822847558,0.06269330692066317,0.29587358835504596,10000-100000
AFR,11,25,3,4r2,0.16928529552690802,0.06824079954408409,0.31128493510884314,100000-1000000
AFR,12,5,0,4r2,0.9324412390874,1.382993533403476,1.5008131788315033,0-1000
AFR,12,5,1,4r2,0.8874926264383354,1.2675394563456504,1.4335908127244905,1000-10000
AFR,12,5,2,4r2,0.9828805057063701,1.1467525222016157,1.4535496588349588,10000-100000
AFR,12,5,3,4r2,0.9383164450063507,1.001799265552754,1.3719464335469187,100000-1000000
AFR,12,10,0,4r2,0.421473582781309,0.6992778500039063,0.9364389093723194,0-1000
AFR,12,10,1,4r2,0.42005648737462375,0.48138966408289896,0.8110715854154961,1000-10000
AFR,12,10,2,4r2,0.48694694464960575,0.4770909695666573,0.8451084524901189,10000-100000
AFR,12,10,3,4r2,0.4904770925475853,0.40566399222120664,0.8038854212729195,100000-1000000
AFR,12,25,0,4r2,0.1614540927439554,0.23345661644789978,0.5094350208924329,0-1000
AFR,12,25,1,4r2,0.12888829168449556,0.10794462625515173,0.3529260800628077,1000-10000
AFR,12,25,2,4r2,0.1727630187417295,0.10416330063013969,0.366074256503916,10000-100000
AFR,12,25,3,4r2,0.16572508033182198,0.061533442911184795,0.2983257366741489,100000-1000000
AFR,13,5,0,4r2,0.9640585655998438,1.4935982230131812,1.556601150237147,0-1000
AFR,13,5,1,4r2,0.9478226897674176,1.2819488996387645,1.4765895675090985,1000-10000
AFR,13,5,2,4r2,0.9981614128898236,1.092670888323795,1.4453363257408305,10000-100000
AFR,13,5,3,4r2,1.016360579243824,1.1087499377925427,1.4634680607493231,100000-1000000
AFR,13,10,0,4r2,0.5327283608567295,0.866332563582029,1.0724421056836246,0-1000
AFR,13,10,1,4r2,0.45991821542267075,0.6112930490152664,0.9070930569091799,1000-10000
AFR,13,10,2,4r2,0.41667678620559967,0.3261828813024853,0.7069670610892083,10000-100000
AFR,13,10,3,4r2,0.44448544787947414,0.35974912256669384,0.7465362924488739,100000-1000000
