rep,n,bin,method,bias,variance,rmse,binlabel
0,5,0,Samp,0.17999026448432656,0.08556540777288847,0.3434558240618818,0-1000
0,5,1,Samp,0.1758388969867106,0.0633522545977592,0.3070367604884832,1000-10000
0,5,2,Samp,0.2204626848137208,0.07186187833711113,0.3470816528317006,10000-100000
0,5,3,Samp,0.24945271135648805,0.0701730862451922,0.3638677526908582,100000-1000000
0,10,0,Samp,0.06785096369795056,0.028081912403425405,0.18079177436533447,0-1000
0,10,1,Samp,0.0549080509273007,0.031160913044839766,0.18486699841095167,1000-10000
0,10,2,Samp,0.08429612383377638,0.022149352892998388,0.17104148440187764,10000-100000
0,10,3,Samp,0.11079405850402954,0.024189282193386244,0.19095707788186475,100000-1000000
0,25,0,Samp,0.013844639950615068,0.0074776060321510495,0.08757442599020114,0-1000
0,25,1,Samp,0.019403340130475,0.008910722563449573,0.09637018300111541,1000-10000
0,25,2,Samp,0.03198736054920839,0.006565935938429328,0.0871155966135478,10000-100000
0,25,3,Samp,0.03143170735091108,0.003563092238194543,0.06746142946297433,100000-1000000
1,5,0,Samp,0.15152215345551354,0.059964059068903515,0.2879635776564455,0-1000
1,5,1,Samp,0.16654276730830808,0.06515625788808653,0.3047831216304403,1000-10000
1,5,2,Samp,0.21930700438810663,0.05989263272974582,0.32861557312980594,10000-100000
1,5,3,Samp,0.24013033496511568,0.06877883331505961,0.35558601081245905,100000-1000000
1,10,0,Samp,0.062397050136031744,0.03237152746932971,0.1904335037093215,0-1000
1,10,1,Samp,0.06171676320528413,0.027299113858737803,0.17637480749606765,1000-10000
1,10,2,Samp,0.09059830891357806,0.025449697741076468,0.1834604898038719,10000-100000
1,10,3,Samp,0.11023304889068669,0.026570130920998795,0.1967776816326875,100000-1000000
1,25,0,Samp,0.012045584536215672,0.009488129571908277,0.09814899733938903,0-1000
1,25,1,Samp,0.02258963462760778,0.010182879272643346,0.1034077891904288,1000-10000
1,25,2,Samp,0.026427715574113376,0.007494218612210472,0.09051321871791272,10000-100000
