n,binlabel,method,bias,variance,rmse
5,0-1000,BS,-0.0314,0.1044,0.3246
5,0-1000,Cal,0.0144,0.0535,0.2316
5,0-1000,Flex,-0.0429,0.0746,0.2766
5,0-1000,Rag,-0.0156,0.1968,0.4434
5,0-1000,Samp,0.1387,0.0641,0.2887
5,0-1000,Supp,0.2028,1.1593,1.0944
5,0-1000,mCal,-0.0539,0.0655,0.2616
5,1000-10000,BS,-0.0266,0.1255,0.3553
5,1000-10000,Cal,0.0441,0.058,0.2449
5,1000-10000,Flex,-0.0372,0.084,0.2923
5,1000-10000,Rag,-0.001,0.1358,0.368
5,1000-10000,Samp,0.1947,0.0718,0.3311
5,1000-10000,Supp,0.2526,1.4004,1.2086
5,1000-10000,mCal,-0.0446,0.0708,0.2697
5,10000-100000,BS,-0.0062,0.1208,0.3478
5,10000-100000,Cal,0.0893,0.0459,0.2319
5,10000-100000,Flex,-0.008,0.0683,0.2613
5,10000-100000,Rag,0.0188,0.0971,0.312
5,10000-100000,Samp,0.2403,0.0679,0.3544
5,10000-100000,Supp,0.2887,1.4227,1.226
5,10000-100000,mCal,-0.0082,0.0566,0.2378
5,100000-1000000,BS,-0.0035,0.1161,0.3407
5,100000-1000000,Cal,0.0962,0.0414,0.2248
5,100000-1000000,Flex,-0.0038,0.0618,0.2486
5,100000-1000000,Rag,0.0212,0.0897,0.3001
5,100000-1000000,Samp,0.2466,0.0653,0.355
5,100000-1000000,Supp,0.2884,1.4217,1.2255
5,100000-1000000,mCal,-0.0025,0.0512,0.226
10,0-1000,BS,-0.0268,0.032,0.1808
10,0-1000,Cal,-0.0138,0.0224,0.1501
10,0-1000,Flex,-0.0287,0.0285,0.171
10,0-1000,Rag,-0.0188,0.0913,0.3023
10,0-1000,Samp,0.0539,0.0259,0.1696
10,0-1000,Supp,-0.0224,2.4555,1.5616
10,0-1000,mCal,-0.0448,0.0244,0.1623
10,1000-10000,BS,-0.0206,0.0367,0.1925
10,1000-10000,Cal,0.0028,0.0239,0.1545
10,1000-10000,Flex,-0.0223,0.0318,0.1796
10,1000-10000,Rag,-0.0142,0.0502,0.2242
10,1000-10000,Samp,0.0788,0.0291,0.1878
10,1000-10000,Supp,0.0016,2.7363,1.6502
10,1000-10000,mCal,-0.0359,0.0258,0.1644
10,10000-100000,BS,-0.0072,0.0281,0.1677
10,10000-100000,Cal,0.0323,0.0139,0.1217
10,10000-100000,Flex,-0.0047,0.0192,0.1384
10,10000-100000,Rag,-0.0029,0.0227,0.1504
10,10000-100000,Samp,0.1025,0.0222,0.1806
10,10000-100000,Supp,0.0479,2.5028,1.5776
10,10000-100000,mCal,-0.0101,0.015,0.1225
10,100000-1000000,BS,-0.0024,0.0257,0.1603
10,100000-1000000,Cal,0.0404,0.0117,0.115
10,100000-1000000,Flex,0.0014,0.0161,0.1268
10,100000-1000000,Rag,0.0012,0.0189,0.1371
10,100000-1000000,Samp,0.1087,0.0203,0.1791
10,100000-1000000,Supp,0.0573,2.3965,1.545
10,100000-1000000,mCal,-0.0024,0.0127,0.1123
25,0-1000,BS,-0.0149,0.0092,0.0972
25,0-1000,Cal,-0.0157,0.0076,0.0886
25,0-1000,Flex,-0.0149,0.0086,0.0938
25,0-1000,Rag,-0.0116,0.0376,0.1941
25,0-1000,Samp,0.0159,0.0085,0.0935
25,0-1000,Supp,-1.0422,9996.4924,42.2408
25,0-1000,mCal,-0.0289,0.0079,0.0937
25,1000-10000,BS,-0.0126,0.01,0.1008
25,1000-10000,Cal,-0.0076,0.0082,0.0907
25,1000-10000,Flex,-0.0121,0.0096,0.0986
25,1000-10000,Rag,-0.0102,0.0174,0.1319
25,1000-10000,Samp,0.0248,0.0092,0.0991
25,1000-10000,Supp,-0.4282,5647.098,27.57
25,1000-10000,mCal,-0.0236,0.0084,0.0948
25,10000-100000,BS,-0.0051,0.0054,0.0733
25,10000-100000,Cal,0.01,0.0035,0.0597
25,10000-100000,Flex,-0.0015,0.0043,0.0653
25,10000-100000,Rag,-0.0047,0.005,0.0704
25,10000-100000,Samp,0.036,0.0049,0.0788
25,10000-100000,Supp,0.3211,32.9963,5.2693
25,10000-100000,mCal,-0.0075,0.0036,0.0605
25,100000-1000000,BS,-0.0024,0.0037,0.0611
25,100000-1000000,Cal,0.0157,0.002,0.0476
25,100000-1000000,Flex,0.0031,0.0025,0.0504
25,100000-1000000,Rag,-0.0025,0.0029,0.0534
25,100000-1000000,Samp,0.0393,0.0034,0.0704
25,100000-1000000,Supp,0.5332,3405.0121,11.0265
25,100000-1000000,mCal,-0.0021,0.0021,0.046
